Event ID,Date/Time UTC,Depth km,Magnitude,Latitude,Longitude,Distance From Closest Volcano
av91967726,2023-07-17 15:59:26,-1.49,0.34,56.9175,-158.01,9.67 km (6.01 mi) ENE of Aniakchak (65º)
av91967346,2023-07-17 09:06:07,7.38,2.99,56.8616666667,-158.084,4.85 km (3.01 mi) SE of Aniakchak (117º)
av91967186,2023-07-17 05:53:16,2.61,0.07,56.8731666667,-158.0553333333,6.13 km (3.80 mi) ESE of Aniakchak (99º)
av91966521,2023-07-16 19:14:00,13.19,1.05,56.7921666667,-158.3458333333,15.28 km (9.49 mi) WSW of Aniakchak (230º)
av91965646,2023-07-16 08:26:44,-1.94,0.36,56.8993333333,-158.0218333333,8.33 km (5.17 mi) E of Aniakchak (76º)
av91964836,2023-07-15 22:03:31,9.91,-0.73,56.84,-158.1108333333,5.34 km (3.32 mi) SSE of Aniakchak (150º)
av91964816,2023-07-15 21:54:12,7.47,0.57,56.8676666667,-158.138,1.85 km (1.15 mi) SSE of Aniakchak (146º)
av91964261,2023-07-15 13:33:36,7.11,0.2,56.812,-158.0601666667,9.64 km (5.99 mi) SSE of Aniakchak (143º)
av91110498,2023-07-15 10:17:23,5.49,0.22,56.8693333333,-158.0851666667,4.45 km (2.77 mi) ESE of Aniakchak (108º)
av91110483,2023-07-15 09:24:11,4.72,-0.15,56.868,-158.1226666667,2.47 km (1.54 mi) SE of Aniakchak (127º)
av91963631,2023-07-15 02:56:31,3.64,0.44,56.727,-158.4143333333,23.33 km (14.49 mi) SW of Aniakchak (223º)
av91963061,2023-07-14 14:24:59,5.61,-0.26,56.826,-158.0546666667,8.68 km (5.39 mi) SSE of Aniakchak (135º)
av91962541,2023-07-14 04:01:49,5.97,-0.51,56.8436666667,-158.0998333333,5.38 km (3.34 mi) SSE of Aniakchak (141º)
av91110108,2023-07-10 14:11:57,3.99,-0.59,56.9411666667,-158.031,10.03 km (6.23 mi) ENE of Aniakchak (49º)
av91951126,2023-07-06 18:08:13,4.5,0.97,56.8508333333,-158.1208333333,3.99 km (2.48 mi) SSE of Aniakchak (149º)
