-161.000000,53.240000,0.008895	-162.925000,53.225000,15.277160
-161.000000,53.240000,0.008798	-162.825000,53.225000,13.671835
-161.000000,53.240000,0.008699	-162.725000,53.225000,12.660999
-161.000000,53.240000,0.008598	-162.675000,53.225000,11.820132
-161.000000,53.240000,0.008495	-162.575000,53.225000,10.894000
-161.000000,53.240000,0.008391	-162.475000,53.225000,10.326036
-161.000000,53.240000,0.008391	-162.425000,53.225000,9.863403
-161.000000,53.240000,0.008284	-162.325000,53.225000,9.361643
-161.000000,53.240000,0.008284	-162.225000,53.225000,9.057184
-161.000000,53.240000,0.008284	-162.175000,53.225000,8.809862
-161.000000,53.240000,0.008284	-162.075000,53.225000,8.539646
-161.000000,53.240000,0.008176	-161.975000,53.225000,8.372541
-161.000000,53.240000,0.008176	-161.925000,53.225000,8.232087
-161.000000,53.240000,0.008176	-161.825000,53.225000,8.070826
-161.000000,53.240000,0.008176	-161.725000,53.225000,7.964480
-161.000000,53.240000,0.008176	-161.675000,53.225000,7.868247
-161.000000,53.240000,0.008176	-161.575000,53.225000,7.749043
-161.000000,53.300000,0.010240	-163.325000,53.275000,26.806923
-161.000000,53.300000,0.010170	-163.225000,53.275000,24.334234
-161.000000,53.300000,0.010025	-163.175000,53.275000,22.146729
-161.000000,53.300000,0.009949	-163.075000,53.275000,19.576298
-161.000000,53.300000,0.009871	-162.975000,53.275000,17.891426
-161.000000,53.300000,0.009791	-162.925000,53.275000,16.432087
-161.000000,53.300000,0.009625	-162.825000,53.275000,14.762900
-161.000000,53.300000,0.009625	-162.725000,53.275000,13.701397
-161.000000,53.300000,0.009539	-162.675000,53.275000,12.808866
-161.000000,53.300000,0.009451	-162.575000,53.275000,11.814812
-161.000000,53.300000,0.009361	-162.475000,53.275000,11.197951
-161.000000,53.300000,0.009268	-162.425000,53.275000,10.689734
-161.000000,53.300000,0.009268	-162.325000,53.275000,10.132776
-161.000000,53.300000,0.009174	-162.225000,53.275000,9.791537
-161.000000,53.300000,0.009078	-162.175000,53.275000,9.512180
-161.000000,53.300000,0.009078	-162.075000,53.275000,9.205294
-161.000000,53.300000,0.009078	-161.975000,53.275000,9.014836
-161.000000,53.300000,0.008980	-161.925000,53.275000,8.854590
-161.000000,53.300000,0.008879	-161.825000,53.275000,8.670802
-161.000000,53.300000,0.008879	-161.725000,53.275000,8.549877
-161.000000,53.300000,0.008879	-161.675000,53.275000,8.440737
-161.000000,53.300000,0.008777	-161.575000,53.275000,8.305769
-161.000000,53.300000,0.008777	-161.475000,53.275000,8.209978
-161.000000,53.300000,0.008777	-161.425000,53.275000,8.117583
-161.000000,53.300000,0.008777	-163.325000,53.325000,27.719292
-161.000000,53.300000,0.008673	-163.225000,53.325000,25.246317
-161.000000,53.300000,0.008673	-163.175000,53.325000,23.047253
-161.000000,53.300000,0.008673	-163.075000,53.325000,20.451508
-161.000000,53.300000,0.008673	-162.975000,53.325000,18.742304
