-163.000000 53.000000 0.000068	-166.050000 52.400000 11.368071 
-163.000000 53.000000 0.000068	-166.000000 52.400000 11.191535 
-163.000000 53.000000 0.000068	-165.950000 52.400000 11.022745 
-163.000000 53.000000 0.000068	-165.900000 52.400000 10.860773 
-163.000000 53.000000 0.000068	-165.850000 52.400000 10.704922 
-163.000000 53.000000 0.000068	-165.800000 52.400000 10.554654 
-163.000000 53.000000 0.000068	-165.750000 52.400000 10.409544 
-163.000000 53.000000 0.000068	-165.700000 52.400000 10.269229 
-163.000000 53.000000 0.000068	-165.650000 52.400000 10.133382 
-163.000000 53.000000 0.000068	-165.600000 52.400000 10.001688 
-163.000000 53.000000 0.000068	-165.550000 52.400000 9.873839 
-163.000000 53.000000 0.000068	-165.500000 52.400000 9.749524 
-163.000000 53.000000 0.000068	-165.450000 52.400000 9.628429 
-163.000000 53.000000 0.000011	-165.400000 52.400000 9.510244 
-163.000000 53.000000 0.000011	-165.350000 52.400000 9.394667 
-163.000000 53.000000 0.000011	-165.300000 52.400000 9.281401 
-163.000000 53.000000 0.000011	-165.250000 52.400000 9.170172 
-163.000000 53.000000 0.000011	-165.200000 52.400000 9.060728 
-163.000000 53.000000 0.000011	-166.850000 52.450000 18.330809 
-163.000000 53.000000 0.000011	-166.800000 52.450000 17.888203 
-163.000000 53.000000 0.000011	-166.750000 52.450000 17.290760 
-163.000000 53.000000 0.000011	-166.700000 52.450000 16.656078 
-163.000000 53.000000 0.000011	-166.650000 52.450000 16.047127 
-163.000000 53.000000 0.000011	-166.600000 52.450000 15.492572 
-163.000000 53.000000 0.000011	-166.550000 52.450000 15.000234 
-163.000000 53.000000 0.000011	-166.500000 52.450000 14.565780 
-163.000000 53.000000 0.000011	-166.450000 52.450000 14.180756 
-163.000000 53.000000 0.000011	-166.400000 52.450000 13.837311 
-163.000000 53.000000 0.000011	-166.350000 52.450000 13.528478 
-163.000000 53.000000 0.000011	-166.300000 52.450000 13.248219 
-163.000000 53.000000 0.000011	-166.250000 52.450000 12.991419 
-163.000000 53.000000 0.000011	-166.200000 52.450000 12.753842 
-163.000000 53.000000 0.000011	-166.150000 52.450000 12.532055 
-163.000000 53.000000 0.000011	-166.100000 52.450000 12.323332 
-163.000000 53.000000 0.000011	-166.050000 52.450000 12.125548 
-163.000000 53.000000 0.000011	-166.000000 52.450000 11.937078 
-163.000000 53.000000 0.000011	-165.950000 52.450000 11.756684 
-163.000000 53.000000 0.000011	-165.900000 52.450000 11.583434 
-163.000000 53.000000 0.000011	-165.850000 52.450000 11.416611 
-163.000000 53.000000 0.000011	-165.800000 52.450000 11.255650 
-163.000000 53.000000 0.000011	-165.750000 52.450000 11.100080 
-163.000000 53.000000 0.000011	-165.700000 52.450000 10.949492 
-163.000000 53.000000 0.000011	-165.650000 52.450000 10.803503 
-163.000000 53.000000 0.000011	-165.600000 52.450000 10.661741 
-163.000000 53.000000 0.000011	-165.550000 52.450000 10.523839 
-163.000000 53.000000 0.000011	-165.500000 52.450000 10.389433 
-163.000000 53.000000 0.000011	-165.450000 52.450000 10.258161 
-163.000000 53.000000 0.000011	-165.400000 52.450000 10.129672 
-163.000000 53.000000 0.000011	-165.350000 52.450000 10.003633 
-163.000000 53.000000 0.000011	-165.300000 52.450000 9.879730 
-163.000000 53.000000 0.000011	-165.250000 52.450000 9.757676 
-163.000000 53.000000 0.000011	-165.200000 52.450000 9.637218 
-163.000000 53.000000 0.000011	-165.150000 52.450000 9.518145 
-163.000000 53.000000 -0.000045	-165.100000 52.450000 9.400284 
-163.000000 53.000000 -0.000045	-165.050000 52.450000 9.283509 
-163.000000 53.000000 -0.000045	-166.850000 52.500000 19.389151 
-163.000000 53.000000 -0.000045	-166.800000 52.500000 18.915625 
-163.000000 53.000000 -0.000045	-166.750000 52.500000 18.295603 
-163.000000 53.000000 -0.000045	-166.700000 52.500000 17.642843 
-163.000000 53.000000 -0.000045	-166.650000 52.500000 17.018066 
-163.000000 53.000000 -0.000045	-166.600000 52.500000 16.448704 
-163.000000 53.000000 -0.000045	-166.550000 52.500000 15.941981 
-163.000000 53.000000 -0.000045	-166.500000 52.500000 15.493359 
-163.000000 53.000000 -0.000045	-166.450000 52.500000 15.094341 
-163.000000 53.000000 -0.000045	-166.400000 52.500000 14.737063 
-163.000000 53.000000 -0.000045	-166.350000 52.500000 14.414567 
-163.000000 53.000000 -0.000045	-166.300000 52.500000 14.120839 
-163.000000 53.000000 -0.000045	-166.250000 52.500000 13.850800 
-163.000000 53.000000 -0.000045	-166.200000 52.500000 13.600257 
-163.000000 53.000000 -0.000045	-166.150000 52.500000 13.365817 
-163.000000 53.000000 -0.000045	-166.100000 52.500000 13.144793 
-163.000000 53.000000 -0.000045	-166.050000 52.500000 12.935088 
-163.000000 53.000000 -0.000045	-166.000000 52.500000 12.735091 
-163.000000 53.000000 -0.000045	-165.950000 52.500000 12.543568 
-163.000000 53.000000 -0.000045	-165.900000 52.500000 12.359568 
-163.000000 53.000000 -0.000045	-165.850000 52.500000 12.182343 
-163.000000 53.000000 -0.000045	-165.800000 52.500000 12.011283 
-163.000000 53.000000 -0.000045	-165.750000 52.500000 11.845860 
-163.000000 53.000000 -0.000045	-165.700000 52.500000 11.685597 
-163.000000 53.000000 -0.000045	-165.650000 52.500000 11.530039 
-163.000000 53.000000 -0.000045	-165.600000 52.500000 11.378741 
-163.000000 53.000000 -0.000045	-165.550000 52.500000 11.231267 
-163.000000 53.000000 -0.000045	-165.500000 52.500000 11.087186 
-163.000000 53.000000 -0.000045	-165.450000 52.500000 10.946081 
-163.000000 53.000000 -0.000045	-165.400000 52.500000 10.807557 
-163.000000 53.000000 -0.000045	-165.350000 52.500000 10.671247 
-163.000000 53.000000 -0.000045	-165.300000 52.500000 10.536816 
-163.000000 53.000000 -0.000045	-165.250000 52.500000 10.403969 
-163.000000 53.000000 -0.000045	-165.200000 52.500000 10.272459 
-163.000000 53.000000 -0.000045	-165.150000 52.500000 10.142083 
-163.000000 53.000000 -0.000045	-165.100000 52.500000 10.012691 
-163.000000 53.000000 -0.000045	-165.050000 52.500000 9.884182 
-163.000000 53.000000 -0.000045	-165.000000 52.500000 9.756506 
-163.000000 53.000000 -0.000045	-164.950000 52.500000 9.629654 
-163.000000 53.000000 -0.000045	-164.900000 52.500000 9.503658 
-163.000000 53.000000 -0.000045	-166.850000 52.550000 20.497486 
-163.000000 53.000000 -0.000045	-166.800000 52.550000 19.993322 
-163.000000 53.000000 -0.000102	-166.750000 52.550000 19.350624 
-163.000000 53.000000 -0.000102	-166.700000 52.550000 18.679514 
-163.000000 53.000000 -0.000102	-166.650000 52.550000 18.038586 
-163.000000 53.000000 -0.000102	-166.600000 52.550000 17.454094 
-163.000000 53.000000 -0.000102	-166.550000 52.550000 16.932690 
-163.000000 53.000000 -0.000102	-166.500000 52.550000 16.469639 
-163.000000 53.000000 -0.000102	-166.450000 52.550000 16.056400 
-163.000000 53.000000 -0.000102	-166.400000 52.550000 15.685108 
-163.000000 53.000000 -0.000102	-166.350000 52.550000 15.348818 
-163.000000 53.000000 -0.000102	-166.300000 52.550000 15.041553 
