-163.000000 53.000000 0.002749	-164.700000 52.600000 10.211328 
-163.000000 53.000000 0.002749	-164.650000 52.600000 10.064715 
-163.000000 53.000000 0.002749	-164.600000 52.600000 9.919287 
-163.000000 53.000000 0.002749	-164.550000 52.600000 9.775160 
-163.000000 53.000000 0.002749	-166.850000 52.650000 22.862392 
-163.000000 53.000000 0.002749	-166.800000 52.650000 22.297243 
-163.000000 53.000000 0.002749	-166.750000 52.650000 21.607939 
-163.000000 53.000000 0.002749	-166.700000 52.650000 20.898182 
-163.000000 53.000000 0.002749	-166.650000 52.650000 20.222769 
-163.000000 53.000000 0.002749	-166.600000 52.650000 19.605848 
-163.000000 53.000000 0.002749	-166.550000 52.650000 19.053040 
-163.000000 53.000000 0.002749	-166.500000 52.650000 18.559246 
-163.000000 53.000000 0.002749	-166.450000 52.650000 18.115873 
-163.000000 53.000000 0.002749	-166.400000 52.650000 17.715065 
-163.000000 53.000000 0.002749	-166.350000 52.650000 17.349951 
-163.000000 53.000000 0.002749	-166.300000 52.650000 17.014662 
-163.000000 53.000000 0.002749	-166.250000 52.650000 16.704300 
-163.000000 53.000000 0.002749	-166.200000 52.650000 16.414864 
-163.000000 53.000000 0.002749	-166.150000 52.650000 16.143135 
-163.000000 53.000000 0.002749	-166.100000 52.650000 15.886564 
-163.000000 53.000000 0.002749	-166.050000 52.650000 15.643145 
-163.000000 53.000000 0.002749	-166.000000 52.650000 15.411285 
-163.000000 53.000000 0.002749	-165.950000 52.650000 15.189698 
-163.000000 53.000000 0.002765	-165.900000 52.650000 14.977312 
-163.000000 53.000000 0.002765	-165.850000 52.650000 14.773185 
-163.000000 53.000000 0.002765	-165.800000 52.650000 14.576458 
-163.000000 53.000000 0.002765	-165.750000 52.650000 14.386313 
-163.000000 53.000000 0.002765	-165.700000 52.650000 14.201952 
-163.000000 53.000000 0.002765	-165.650000 52.650000 14.022590 
-163.000000 53.000000 0.002765	-165.600000 52.650000 13.847459 
-163.000000 53.000000 0.002765	-165.550000 52.650000 13.675822 
-163.000000 53.000000 0.002765	-165.500000 52.650000 13.506981 
-163.000000 53.000000 0.002765	-165.450000 52.650000 13.340294 
-163.000000 53.000000 0.002765	-165.400000 52.650000 13.175192 
-163.000000 53.000000 0.002765	-165.350000 52.650000 13.011186 
-163.000000 53.000000 0.002765	-165.300000 52.650000 12.847871 
-163.000000 53.000000 0.002765	-165.250000 52.650000 12.684930 
-163.000000 53.000000 0.002765	-165.200000 52.650000 12.522133 
-163.000000 53.000000 0.002765	-165.150000 52.650000 12.359333 
-163.000000 53.000000 0.002765	-165.100000 52.650000 12.196455 
-163.000000 53.000000 0.002765	-165.050000 52.650000 12.033494 
-163.000000 53.000000 0.002765	-165.000000 52.650000 11.870496 
-163.000000 53.000000 0.002765	-164.950000 52.650000 11.707551 
-163.000000 53.000000 0.002765	-164.900000 52.650000 11.544784 
-163.000000 53.000000 0.002765	-164.850000 52.650000 11.382330 
-163.000000 53.000000 0.002765	-164.800000 52.650000 11.220337 
-163.000000 53.000000 0.002765	-164.750000 52.650000 11.058950 
-163.000000 53.000000 0.002765	-164.700000 52.650000 10.898308 
-163.000000 53.000000 0.002765	-164.650000 52.650000 10.738543 
-163.000000 53.000000 0.002765	-164.600000 52.650000 10.579782 
-163.000000 53.000000 0.002765	-164.550000 52.650000 10.422162 
-163.000000 53.000000 0.002765	-164.500000 52.650000 10.265828 
-163.000000 53.000000 0.002765	-164.450000 52.650000 10.110950 
-163.000000 53.000000 0.002765	-164.400000 52.650000 9.957733 
-163.000000 53.000000 0.002765	-166.850000 52.700000 24.120760 
-163.000000 53.000000 0.002765	-166.800000 52.700000 23.524704 
-163.000000 53.000000 0.002765	-166.750000 52.700000 22.810810 
-163.000000 53.000000 0.002765	-166.700000 52.700000 22.080030 
-163.000000 53.000000 0.002765	-166.650000 52.700000 21.385530 
-163.000000 53.000000 0.002765	-166.600000 52.700000 20.750559 
-163.000000 53.000000 0.002765	-166.550000 52.700000 20.180283 
-163.000000 53.000000 0.002765	-166.500000 52.700000 19.669460 
-163.000000 53.000000 0.002765	-166.450000 52.700000 19.209480 
-163.000000 53.000000 0.002765	-166.400000 52.700000 18.792517 
-163.000000 53.000000 0.002765	-166.350000 52.700000 18.411758 
-163.000000 53.000000 0.002765	-166.300000 52.700000 18.061413 
-163.000000 53.000000 0.002765	-166.250000 52.700000 17.736673 
-163.000000 53.000000 0.002765	-166.200000 52.700000 17.433624 
-163.000000 53.000000 0.002765	-166.150000 52.700000 17.149122 
-163.000000 53.000000 0.002765	-166.100000 52.700000 16.880674 
-163.000000 53.000000 0.002765	-166.050000 52.700000 16.626301 
-163.000000 53.000000 0.002765	-166.000000 52.700000 16.384407 
-163.000000 53.000000 0.002765	-165.950000 52.700000 16.153667 
-163.000000 53.000000 0.002765	-165.900000 52.700000 15.932939 
-163.000000 53.000000 0.002765	-165.850000 52.700000 15.721184 
-163.000000 53.000000 0.002765	-165.800000 52.700000 15.517420 
-163.000000 53.000000 0.002765	-165.750000 52.700000 15.320690 
