mag,lat,lon,depth,time
0.8,64.397,-147.349,0.14,605832614.58
0.7,64.9103,-147.9558,-0.53,605835458.49
0.4,64.7763,-147.4135,13.57,605844578.21
1.7,65.7058,-148.035,4.01,605908469.23
0.9,64.7973,-147.3245,6.26,605959087.38
1.7,65.6627,-148.0998,-3.0,606030225.22
1.3,65.8573,-148.1703,-3.0,606031901.13
1.6,64.8767,-147.735,17.68,606083156.34
0.7,64.9182,-147.98,-1.2,606089706.76
1.1,64.6473,-148.1,16.6,606235858.7
0.6,64.9558,-147.1708,13.8,606343390.1
1.1,64.5423,-148.4285,15.04,606347091.96
0.9,64.6548,-147.6848,13.93,606419772.06
1.1,64.3442,-147.554,0.36,606429699.77
0.7,64.916,-147.9828,3.01,606434345.27
0.6,64.7243,-147.5968,13.37,606559180.06
1.2,64.743,-147.4253,11.87,606689892.8
0.5,64.9103,-147.977,-0.03,606694265.56
0.4,64.7527,-147.8048,15.67,606695099.5
0.9,65.041,-147.0345,-1.01,606703803.52
1.6,64.7839,-147.4166,5.9536,606714390.78879
0.5,64.915,-147.9862,-0.54,606796953.46
1.0,65.0495,-147.0222,-3.0,606852253.88
2.2,64.6925,-147.4628,15.8,606931623.92
1.5,64.0033,-148.6633,-3.0,606954230.67
1.9,64.8937,-148.9542,15.42,606971313.35
0.7,64.5542,-147.1108,-0.22,606985628.5
2.3,64.785,-147.4182,19.65,607122422.69
0.7,64.9087,-147.9787,-0.27,607132742.75
1.1,64.9995,-147.0948,-1.17,607137003.7
1.9,64.3223,-148.4968,15.2,607160522.81
1.0,64.773,-147.7548,13.97,607162785.23
0.6,64.3142,-147.8428,11.81,607164959.7
0.6,64.9188,-147.981,-0.42,607306741.52
1.1,64.819,-147.5932,16.53,607328499.53
1.1,64.7783,-147.9705,25.59,607334265.91
1.0,64.7547,-147.4627,13.19,607409003.62
1.5,64.3628,-147.9975,15.97,607410103.96
0.9,65.1027,-146.902,-3.0,607468909.17
0.9,64.8758,-148.4615,19.26,607472589.78
0.6,64.6217,-147.0263,-0.13,607501123.8
1.0,64.9517,-146.7742,7.33,607526965.95
0.5,64.7743,-148.2707,15.1,607539877.13
1.4,65.0705,-147.3975,13.75,607554243.35
1.4,65.0743,-147.4,13.45,607554272.07
1.9,64.2902,-148.4478,12.36,607567636.02
0.9,64.6732,-147.6007,14.13,607615091.24
0.8,64.6745,-147.5902,12.93,607615118.63
1.2,64.6715,-147.5973,14.16,607615668.93
0.8,64.9393,-148.0233,-0.09,607639860.56
0.9,64.7048,-147.4665,11.09,607680661.58
0.6,64.6458,-146.9543,-0.11,607702966.9
0.6,64.6153,-148.1617,8.73,607713255.39
0.2,64.906,-147.9707,3.1,607719607.37
3.0,64.4797,-146.9123,9.16,607725714.68
0.5,64.4898,-146.9607,1.28,607760510.69
1.1,65.0418,-146.678,16.5,607770112.4
1.6,65.048,-146.6645,16.33,607779523.27
0.2,64.9158,-147.9863,-0.44,607810372.89
0.8,64.6722,-148.3325,16.48,607838401.99
0.4,64.7022,-147.3328,-1.05,607856474.51
1.1,64.9003,-148.9452,14.91,607889808.45
0.3,64.9158,-147.9972,1.43,607893893.09
0.8,64.605,-147.009,-0.02,607928674.6
1.1,65.0578,-147.0128,-3.0,607983713.53
0.5,64.9155,-147.9887,2.38,607985992.51
